,season,date,league_id,league,team1,team2,spi1,spi2,prob1,prob2,probtie,proj_score1,proj_score2,importance1,importance2,score1,score2,xg1,xg2,nsxg1,nsxg2,adj_score1,adj_score2
523,2016,2016-10-29,1845,German Bundesliga,Augsburg,Bayern Munich,64.9,93.22,0.1471,0.6445,0.2085,0.73,2.06,29.2,54.2,1.0,3.0,0.89,3.94,0.7,2.16,1.05,3.15
286,2016,2016-09-24,1845,German Bundesliga,Augsburg,Darmstadt,64.56,52.02,0.5155,0.2138,0.2706,1.38,0.77,38.6,46.3,1.0,0.0,2.02,0.15,1.53,0.53,1.05,0.0
2260,2016,2017-05-13,1845,German Bundesliga,Augsburg,Dortmund,61.17,87.02,0.185,0.6022,0.2128,0.98,2.05,25.2,0.0,1.0,1.0,1.27,1.97,0.68,2.25,1.05,1.05
798,2016,2016-12-04,1845,German Bundesliga,Augsburg,Eintracht Frankfurt,65.93,73.1,0.364,0.3334,0.3026,1.03,0.95,21.7,69.9,1.0,1.0,0.78,0.6,0.75,0.88,1.05,1.05
1874,2016,2017-04-15,1845,German Bundesliga,Augsburg,FC Koln,58.71,68.07,0.3517,0.3673,0.2809,1.13,1.15,73.0,2.1,2.0,1.0,1.11,1.21,0.72,1.46,2.1,1.05
1574,2016,2017-03-18,1845,German Bundesliga,Augsburg,Freiburg,62.72,65.67,0.4162,0.3095,0.2743,1.3,1.07,38.4,7.8,1.0,1.0,0.95,1.06,1.47,0.54,1.05,1.05
2122,2016,2017-04-30,1845,German Bundesliga,Augsburg,Hamburg SV,58.13,62.32,0.4092,0.3153,0.2755,1.28,1.08,100.0,56.6,4.0,0.0,2.08,0.41,0.56,1.25,3.68,0.0
644,2016,2016-11-19,1845,German Bundesliga,Augsburg,Hertha Berlin,65.85,72.14,0.3718,0.3296,0.2986,1.07,0.96,24.0,55.9,0.0,0.0,1.17,1.39,0.93,1.17,0.0,0.0
1072,2016,2017-01-21,1845,German Bundesliga,Augsburg,Hoffenheim,66.79,72.62,0.3876,0.3247,0.2877,1.15,1.04,21.9,67.2,0.0,2.0,0.41,1.42,0.94,0.44,0.0,2.1
1740,2016,2017-04-05,1845,German Bundesliga,Augsburg,Ingolstadt,60.73,60.81,0.3836,0.3334,0.283,1.18,1.06,,,2.0,3.0,1.45,1.7,1.15,1.61,2.1,3.15
1311,2016,2017-02-17,1845,German Bundesliga,Augsburg,Leverkusen,65.43,77.61,0.3124,0.4078,0.2797,1.06,1.24,17.6,31.5,1.0,3.0,1.63,3.48,0.94,2.17,1.05,3.15
892,2016,2016-12-17,1845,German Bundesliga,Augsburg,M'gladbach,65.36,69.97,0.3988,0.295,0.3063,1.04,0.85,33.7,11.7,1.0,0.0,0.4,0.5,0.79,0.38,1.05,0.0
228,2016,2016-09-18,1845,German Bundesliga,Augsburg,Mainz,65.91,69.25,0.4291,0.2999,0.271,1.32,1.1,26.4,33.4,1.0,3.0,0.87,1.26,0.79,0.82,1.05,2.89
1432,2016,2017-03-03,1845,German Bundesliga,Augsburg,RB Leipzig,64.7,76.98,0.3081,0.4059,0.2861,1.02,1.18,15.9,11.4,2.0,2.0,0.78,0.97,0.36,1.49,2.1,2.1
404,2016,2016-10-15,1845,German Bundesliga,Augsburg,Schalke 04,65.07,71.01,0.3822,0.338,0.2798,1.21,1.1,31.7,22.7,1.0,1.0,0.48,0.93,0.83,0.74,1.05,1.05
1225,2016,2017-02-05,1845,German Bundesliga,Augsburg,Werder Bremen,66.95,62.75,0.4988,0.2296,0.2716,1.38,0.87,18.7,39.8,3.0,2.0,1.95,2.54,1.3,1.13,3.15,2.1
77,2016,2016-08-27,1845,German Bundesliga,Augsburg,Wolfsburg,66.11,74.88,0.3472,0.3901,0.2626,1.29,1.34,27.6,53.4,0.0,2.0,0.56,0.66,1.12,1.16,0.0,1.6
1649,2016,2017-04-01,1845,German Bundesliga,Bayern Munich,Augsburg,94.87,62.73,0.924,0.0137,0.0622,2.69,0.2,2.5,27.7,6.0,0.0,4.04,0.22,4.45,0.2,5.82,0.0
2164,2016,2017-05-06,1845,German Bundesliga,Bayern Munich,Darmstadt,94.51,48.0,0.9622,0.0064,0.0313,3.35,0.2,0.0,0.0,1.0,0.0,3.01,1.22,3.26,0.77,1.05,0.0
1782,2016,2017-04-08,1845,German Bundesliga,Bayern Munich,Dortmund,95.36,87.84,0.7409,0.0854,0.1737,2.09,0.89,0.0,2.8,4.0,1.0,1.79,0.94,1.66,0.82,4.2,1.05
1516,2016,2017-03-11,1845,German Bundesliga,Bayern Munich,Eintracht Frankfurt,94.72,68.3,0.8942,0.0197,0.0861,2.46,0.22,11.1,34.3,3.0,0.0,2.78,0.82,1.39,0.91,3.15,0.0
355,2016,2016-10-01,1845,German Bundesliga,Bayern Munich,FC Koln,94.25,70.08,0.8767,0.0233,0.1,2.37,0.26,72.6,52.5,1.0,1.0,2.45,1.02,3.27,0.59,1.05,1.05
2378,2016,2017-05-20,1845,German Bundesliga,Bayern Munich,Freiburg,93.92,63.01,0.9478,0.0091,0.043,3.07,0.38,0.0,0.0,4.0,1.0,4.39,1.68,4.25,1.54,3.07,1.05
1371,2016,2017-02-25,1845,German Bundesliga,Bayern Munich,Hamburg SV,92.54,63.56,0.9103,0.0165,0.0732,2.58,0.29,22.5,46.5,8.0,0.0,3.59,0.22,2.68,0.2,7.97,0.0
259,2016,2016-09-21,1845,German Bundesliga,Bayern Munich,Hertha Berlin,94.01,71.52,0.8704,0.0246,0.1049,2.33,0.31,,,3.0,0.0,2.88,0.17,2.92,0.26,3.12,0.0
590,2016,2016-11-05,1845,German Bundesliga,Bayern Munich,Hoffenheim,93.71,71.19,0.9237,0.0138,0.0625,2.81,0.54,55.0,62.6,1.0,1.0,1.79,0.23,2.7,0.66,1.05,1.05
200,2016,2016-09-17,1845,German Bundesliga,Bayern Munich,Ingolstadt,94.87,55.39,0.9293,0.0127,0.058,2.78,0.2,73.5,24.7,3.0,1.0,0.44,1.85,2.1,1.67,2.81,1.05
718,2016,2016-11-26,1845,German Bundesliga,Bayern Munich,Leverkusen,92.24,78.03,0.8045,0.0556,0.1399,2.2,0.77,80.5,65.4,2.0,1.0,1.63,1.28,1.89,1.01,2.1,1.05
479,2016,2016-10-22,1845,German Bundesliga,Bayern Munich,M'gladbach,93.17,73.79,0.8819,0.0223,0.0959,2.43,0.5,67.2,63.2,2.0,0.0,1.98,0.73,1.76,0.47,2.1,0.0
1958,2016,2017-04-22,1845,German Bundesliga,Bayern Munich,Mainz,94.7,66.81,0.9198,0.0146,0.0656,2.68,0.27,0.0,32.9,2.0,2.0,0.93,2.4,2.99,0.82,2.1,2.1
