,season,date,league_id,league,team1,team2,spi1,spi2,prob1,prob2,probtie,proj_score1,proj_score2,importance1,importance2,score1,score2,xg1,xg2,nsxg1,nsxg2,adj_score1,adj_score2
149,2017,2017-12-17,1849,Dutch Eredivisie,AZ,Ajax,54.02,74.15,0.2705,0.4851,0.2444,1.43,1.97,,,1.0,2.0,,,,,,
11,2017,2017-08-19,1849,Dutch Eredivisie,AZ,Den Haag,49.2,30.41,0.6453,0.1525,0.2022,2.42,1.1,,,2.0,0.0,,,,,,
53,2017,2017-09-24,1849,Dutch Eredivisie,AZ,Excelsior,52.06,28.29,0.7368,0.0923,0.1709,2.57,0.81,,,0.0,2.0,,,,,,
59,2017,2017-10-01,1849,Dutch Eredivisie,AZ,Feyenoord,48.38,57.52,0.3572,0.3817,0.2611,1.58,1.64,,,0.0,4.0,,,,,,
248,2017,2018-03-18,1849,Dutch Eredivisie,AZ,Groningen,55.09,36.57,0.6413,0.1371,0.2216,2.09,0.85,10.5,2.3,3.0,2.0,,,,,,
154,2017,2017-12-23,1849,Dutch Eredivisie,AZ,Heerenveen,53.35,35.11,0.6451,0.1396,0.2153,2.18,0.91,7.1,7.1,3.0,1.0,,,,,,
129,2017,2017-12-09,1849,Dutch Eredivisie,AZ,Heracles,50.32,34.45,0.6316,0.1555,0.2129,2.27,1.04,,,5.0,0.0,,,,,,
34,2017,2017-09-10,1849,Dutch Eredivisie,AZ,NAC,51.34,26.07,0.7563,0.0875,0.1562,2.79,0.87,,,2.0,1.0,,,,,,
264,2017,2018-04-07,1849,Dutch Eredivisie,AZ,PSV,57.8,66.38,0.3902,0.36,0.2498,1.78,1.7,13.8,34.5,2.0,3.0,,,,,,
186,2017,2018-02-04,1849,Dutch Eredivisie,AZ,Roda JC,55.27,23.24,0.8145,0.045,0.1405,2.58,0.45,9.6,41.2,2.0,2.0,,,,,,
217,2017,2018-02-24,1849,Dutch Eredivisie,AZ,Sparta,56.66,18.5,0.8608,0.0241,0.1151,2.66,0.29,5.8,22.1,2.0,1.0,,,,,,
108,2017,2017-11-24,1849,Dutch Eredivisie,AZ,Twente,47.63,34.13,0.6054,0.1775,0.2172,2.27,1.16,,,2.0,0.0,,,,,,
78,2017,2017-10-22,1849,Dutch Eredivisie,AZ,Utrecht,44.21,42.53,0.473,0.2753,0.2516,1.87,1.39,,,3.0,0.0,,,,,,
202,2017,2018-02-10,1849,Dutch Eredivisie,AZ,VVV Venlo,56.72,29.37,0.7497,0.0634,0.1869,2.15,0.46,8.4,0.7,0.0,0.0,,,,,,
281,2017,2018-04-18,1849,Dutch Eredivisie,AZ,Vitesse,59.45,45.31,0.599,0.1708,0.2302,2.08,1.01,9.2,0.0,4.0,3.0,,,,,,
91,2017,2017-11-04,1849,Dutch Eredivisie,AZ,Willem II,47.52,27.45,0.6561,0.1287,0.2153,2.14,0.83,,,3.0,2.0,,,,,,
297,2017,2018-05-06,1849,Dutch Eredivisie,AZ,Zwolle,57.21,28.76,0.7685,0.07,0.1615,2.53,0.63,0.0,0.0,6.0,0.0,,,,,,
294,2017,2018-04-29,1849,Dutch Eredivisie,Ajax,AZ,66.44,59.62,0.5293,0.2382,0.2325,2.14,1.39,21.5,21.5,3.0,0.0,,,,,,
221,2017,2018-02-25,1849,Dutch Eredivisie,Ajax,Den Haag,71.26,37.11,0.8108,0.05,0.1391,2.66,0.52,55.4,0.0,0.0,0.0,,,,,,
141,2017,2017-12-14,1849,Dutch Eredivisie,Ajax,Excelsior,74.84,28.98,0.8995,0.023,0.0775,3.44,0.47,,,3.0,1.0,,,,,,
167,2017,2018-01-21,1849,Dutch Eredivisie,Ajax,Feyenoord,73.9,62.34,0.5692,0.2008,0.23,2.13,1.2,89.6,32.8,2.0,0.0,,,,,,
14,2017,2017-08-20,1849,Dutch Eredivisie,Ajax,Groningen,65.01,37.78,0.7826,0.07,0.1474,2.77,0.72,,,3.0,1.0,,,,,,
241,2017,2018-03-11,1849,Dutch Eredivisie,Ajax,Heerenveen,68.22,36.41,0.7992,0.0589,0.1419,2.73,0.62,52.7,0.0,4.0,1.0,,,,,,
269,2017,2018-04-08,1849,Dutch Eredivisie,Ajax,Heracles,69.33,30.87,0.8545,0.0421,0.1034,3.28,0.66,24.1,0.0,1.0,0.0,,,,,,
188,2017,2018-02-04,1849,Dutch Eredivisie,Ajax,NAC,73.86,25.36,0.9091,0.0137,0.0772,3.11,0.25,57.5,38.1,3.0,1.0,,,,,,
132,2017,2017-12-10,1849,Dutch Eredivisie,Ajax,PSV,73.01,70.25,0.4905,0.2759,0.2337,2.13,1.57,,,3.0,0.0,,,,,,
113,2017,2017-11-26,1849,Dutch Eredivisie,Ajax,Roda JC,74.54,21.75,0.9322,0.0075,0.0603,3.27,0.2,,,5.0,1.0,,,,,,
63,2017,2017-10-14,1849,Dutch Eredivisie,Ajax,Sparta,66.96,21.51,0.9026,0.0137,0.0836,2.97,0.22,,,4.0,0.0,,,,,,
203,2017,2018-02-11,1849,Dutch Eredivisie,Ajax,Twente,72.5,29.47,0.8806,0.0285,0.091,3.24,0.48,50.3,34.0,2.0,1.0,,,,,,
96,2017,2017-11-05,1849,Dutch Eredivisie,Ajax,Utrecht,71.89,38.73,0.8248,0.0481,0.1271,2.85,0.57,,,1.0,2.0,,,,,,
287,2017,2018-04-19,1849,Dutch Eredivisie,Ajax,VVV Venlo,66.0,25.09,0.8572,0.029,0.1138,2.76,0.36,46.8,0.0,4.0,1.0,,,,,,
51,2017,2017-09-24,1849,Dutch Eredivisie,Ajax,Vitesse,66.09,47.93,0.6454,0.1302,0.2244,2.04,0.79,,,1.0,2.0,,,,,,
157,2017,2017-12-24,1849,Dutch Eredivisie,Ajax,Willem II,74.52,31.11,0.8939,0.0283,0.0778,3.65,0.61,49.0,49.0,3.0,1.0,,,,,,
30,2017,2017-09-09,1849,Dutch Eredivisie,Ajax,Zwolle,66.17,36.74,0.7953,0.0591,0.1457,2.67,0.6,,,3.0,0.0,,,,,,
256,2017,2018-03-31,1849,Dutch Eredivisie,Den Haag,AZ,34.65,54.81,0.2722,0.4523,0.2755,1.19,1.6,0.0,10.8,0.0,3.0,,,,,,
42,2017,2017-09-17,1849,Dutch Eredivisie,Den Haag,Ajax,29.65,67.29,0.133,0.6557,0.2114,0.88,2.21,,,1.0,1.0,,,,,,
71,2017,2017-10-15,1849,Dutch Eredivisie,Den Haag,Excelsior,32.04,28.64,0.4931,0.2303,0.2766,1.62,1.02,,,1.0,2.0,,,,,,
95,2017,2017-11-05,1849,Dutch Eredivisie,Den Haag,Feyenoord,31.48,55.65,0.2362,0.4918,0.272,1.07,1.66,,,2.0,2.0,,,,,,
118,2017,2017-12-02,1849,Dutch Eredivisie,Den Haag,Groningen,34.59,34.48,0.4659,0.2703,0.2638,1.73,1.27,,,0.0,3.0,,,,,,
20,2017,2017-08-26,1849,Dutch Eredivisie,Den Haag,Heerenveen,29.37,36.85,0.3837,0.3562,0.2601,1.65,1.58,,,1.0,2.0,,,,,,
103,2017,2017-11-19,1849,Dutch Eredivisie,Den Haag,Heracles,32.67,39.4,0.3929,0.3294,0.2778,1.5,1.35,,,4.0,1.0,,,,,,
235,2017,2018-03-10,1849,Dutch Eredivisie,Den Haag,NAC,35.88,32.78,0.4832,0.2304,0.2864,1.53,0.97,0.0,11.8,0.0,2.0,,,,,,
292,2017,2018-04-29,1849,Dutch Eredivisie,Den Haag,PSV,32.46,68.16,0.1637,0.6325,0.2037,1.18,2.44,0.0,0.0,3.0,3.0,,,,,,
138,2017,2017-12-13,1849,Dutch Eredivisie,Den Haag,Roda JC,32.92,23.82,0.5544,0.1865,0.2592,1.78,0.92,,,3.0,2.0,,,,,,
48,2017,2017-09-23,1849,Dutch Eredivisie,Den Haag,Sparta,30.6,23.24,0.5399,0.202,0.2581,1.8,1.0,,,1.0,0.0,,,,,,
